TR,K x,K y,time
1,0,0,0
1,0.00478631328575115,0.000581163651478959,1.53846153846154e-05
1,0.00929446344087537,0.0022908794869358,3.07692307692308e-05
1,0.0132624531648159,0.00502978503657798,4.61538461538462e-05
1,0.0164596773178731,0.00863870506537688,6.15384615384615e-05
1,0.0187003248537083,0.0129079022591493,7.69230769230769e-05
1,0.0198541774819611,0.0175892663948935,9.23076923076923e-05
1,0.0198541774819611,0.0224107336051065,0.000107692307692308
1,0.0187003248537083,0.0270920977408507,0.000123076923076923
1,0.0164596773178731,0.0313612949346231,0.000138461538461538
1,0.0132624531648159,0.034970214963422,0.000153846153846154
1,0.00929446344087537,0.0377091205130642,0.000169230769230769
1,0.00478631328575116,0.039418836348521,0.000184615384615385
1,2.44929359829471e-18,0.04,0.0002
1,-0.00478631328575116,0.039418836348521,0.000215384615384615
1,-0.00929446344087537,0.0377091205130642,0.000230769230769231
1,-0.0132624531648159,0.034970214963422,0.000246153846153846
1,-0.0164596773178731,0.0313612949346231,0.000261538461538462
1,-0.0187003248537083,0.0270920977408507,0.000276923076923077
1,-0.0198541774819611,0.0224107336051065,0.000292307692307692
1,-0.0198541774819611,0.0175892663948936,0.000307692307692308
1,-0.0187003248537083,0.0129079022591493,0.000323076923076923
1,-0.0164596773178731,0.00863870506537689,0.000338461538461538
1,-0.0132624531648159,0.00502978503657798,0.000353846153846154
1,-0.00929446344087538,0.00229087948693581,0.000369230769230769
1,-0.00478631328575116,0.00058116365147896,0.000384615384615385
2,0,0,0
2,0.0044914129295542,0.00175321303765165,1.53846153846154e-05
2,0.00843274221944322,0.00453034635959018,3.07692307692308e-05
2,0.0115949321374878,0.00817000307161342,4.61538461538462e-05
2,0.0137942076997437,0.0124606595552324,6.15384615384615e-05
2,0.0149027550045743,0.0171529584515211,7.69230769230769e-05
2,0.0148561493120281,0.0219742004044395,9.23076923076923e-05
2,0.0136570991755512,0.0266441923561856,0.000107692307692308
2,0.0113752890307057,0.0308915313492539,0.000123076923076923
2,0.00814332938906763,0.0344693774798164,0.000138461538461538
2,0.00414904999731367,0.0371697993357063,0.000153846153846154
2,-0.000375416144922282,0.0388358582142934,0.000169230769230769
2,-0.00516712351121875,0.0393707288294318,0.000184615384615385
2,-0.00994759548659419,0.0387433264451452,0.0002
2,-0.0144390084161484,0.0369901134074936,0.000215384615384615
2,-0.0183803377060374,0.0342129800855551,0.000230769230769231
2,-0.0215425276240819,0.0305733233735318,0.000246153846153846
2,-0.0237418031863379,0.0262826668899128,0.000261538461538462
2,-0.0248503504911685,0.0215903679936242,0.000276923076923077
2,-0.0248037447986223,0.0167691260407058,0.000292307692307692
2,-0.0236046946621454,0.0120991340889597,0.000307692307692308
2,-0.0213228845172999,0.00785179509589137,0.000323076923076923
2,-0.0180909248756618,0.00427394896532888,0.000338461538461538
2,-0.0140966454839079,0.00157352710943895,0.000353846153846154
2,-0.00957217934167192,-9.25317691481448e-05,0.000369230769230769
2,-0.00478047197537544,-0.000627402384286551,0.000384615384615385
3,0,0,0
3,0.00391430058073207,0.00281510160080217,1.53846153846154e-05
3,0.00704116079090699,0.00648515490902308,3.07692307692308e-05
3,0.00919885888078378,0.0107968697664899,4.61538461538462e-05
3,0.0102619972802923,0.0154996649781326,6.15384615384615e-05
3,0.0101687902500039,0.0203202311802154,7.69230769230769e-05
3,0.00892465464372515,0.0249784145871186,9.23076923076923e-05
3,0.00660189510064413,0.0292034985110406,0.000107692307692308
3,0.00333550196251726,0.0327499364318783,0.000123076923076923
3,-0.000684693874323511,0.0354116222684501,0.000138461538461538
3,-0.00522505324065827,0.0370338685147686,0.000153846153846154
3,-0.0100217069536505,0.037522396115623,0.000169230769230769
3,-0.0147958909346278,0.0368488136225773,0.000184615384615385
3,-0.0192701469640686,0.0350522672017545,0.0002
3,-0.0231844475448007,0.0322371656009524,0.000215384615384615
3,-0.0263113077549756,0.0285671122927315,0.000230769230769231
3,-0.0284690058448524,0.0242553974352646,0.000246153846153846
3,-0.0295321442443609,0.019552602223622,0.000261538461538462
3,-0.0294389372140725,0.0147320360215392,0.000276923076923077
3,-0.0281948016077938,0.010073852614636,0.000292307692307692
3,-0.0258720420647128,0.00584876869071398,0.000307692307692308
3,-0.0226056489265859,0.00230233076987621,0.000323076923076923
3,-0.0185854530897451,-0.000359355066695518,0.000338461538461538
3,-0.0140450937234103,-0.00198160131301403,0.000353846153846154
3,-0.00924844001041815,-0.00247012891386848,0.000369230769230769
3,-0.00447425602944079,-0.00179654642082278,0.000384615384615385
4,0,0,0
4,0.00309123833063202,0.00370010697715482,1.53846153846154e-05
4,0.00520715733430011,0.00803247732479069,3.07692307692308e-05
4,0.00622478748956373,0.0127453294258285,4.61538461538462e-05
4,0.00608498783073407,0.0175647694466763,6.15384615384615e-05
4,0.00479588300583122,0.0222107090512741,7.69230769230769e-05
4,0.00243239110157316,0.0264131431171061,9.23076923076923e-05
4,-0.00086813032350817,0.0299278414514924,0.000107692307692308
4,-0.00491386696109427,0.032550542562647,0.000123076923076923
4,-0.00946969530346298,0.0341288245951204,0.000138461538461538
4,-0.0142708471671181,0.034570963534007,0.000153846153846154
4,-0.0190382970572208,0.0338512638712882,0.000169230769230769
4,-0.0234949781151338,0.0320115519353596,0.000184615384615385
4,-0.0273818842371475,0.0291587450968565,0.0002
4,-0.0304731225677796,0.0254586381197016,0.000215384615384615
4,-0.0325890415714476,0.0211262677720658,0.000230769230769231
4,-0.0336066717267113,0.016413415671028,0.000246153846153846
4,-0.0334668720678816,0.0115939756501801,0.000261538461538462
